,TeamID,SEASON,LeagueID,PLAYER,NICKNAME,PLAYER_SLUG,NUM,POSITION,HEIGHT,WEIGHT,BIRTH_DATE,AGE,EXP,SCHOOL,PLAYER_ID,HOW_ACQUIRED
0,1610612758,2025,00,Isaiah Stevens,Isaiah,isaiah-stevens,,G,6-0,185,"NOV 01, 2000",24.0,1,Colorado State,1641815,Signed on 07/08/25
1,1610612758,2025,00,Dylan Cardwell,Dylan,dylan-cardwell,,C,6-11,255,"DEC 16, 2001",23.0,R,Auburn,1642928,Signed on 07/02/25
2,1610612758,2025,00,Malik Monk,Malik,malik-monk,0,G,6-3,200,"FEB 04, 1998",27.0,8,Kentucky,1628370,Signed on 07/06/22
3,1610612758,2025,00,Terence Davis,Terence,terence-davis,3,G,6-4,201,"MAY 16, 1997",28.0,5,Mississippi,1629056,Signed on 04/09/25
4,1610612758,2025,00,Isaac Jones,Isaac,isaac-jones,3,F,6-9,245,"JUL 11, 2000",25.0,1,Washington State,1642403,Signed on 07/03/24
5,1610612758,2025,00,Nique Clifford,Nique,nique-clifford,5,G,6-5,175,"FEB 09, 2002",23.0,R,Colorado State,1642363,Draft Rights Traded from OKC on 06/25/25
6,1610612758,2025,00,Doug McDermott,Doug,doug-mcdermott,7,F,6-6,225,"JAN 03, 1992",33.0,11,Creighton,203926,Signed on 10/16/24
7,1610612758,2025,00,Zach LaVine,Zach,zach-lavine,8,G,6-5,200,"MAR 10, 1995",30.0,11,UCLA,203897,Traded from CHI on 02/03/25
8,1610612758,2025,00,Dario Šarić,Dario,dario-šarić,9,F-C,6-10,225,"APR 08, 1994",31.0,8,Anadolu Efes,203967,Traded from DEN on 07/13/25
9,1610612758,2025,00,DeMar DeRozan,DeMar,demar-derozan,10,G-F,6-6,220,"AUG 07, 1989",36.0,16,Southern California,201942,Traded from CHI on 07/08/24
10,1610612758,2025,00,Domantas Sabonis,Domantas,domantas-sabonis,11,F-C,6-10,240,"MAY 03, 1996",29.0,9,Gonzaga,1627734,Traded from IND on 02/08/22
11,1610612758,2025,00,Keegan Murray,Keegan,keegan-murray,13,F,6-8,225,"AUG 19, 2000",25.0,3,Iowa,1631099,#4 Pick in 2022 Draft
12,1610612758,2025,00,Dennis Schröder,Dennis,dennis-schröder,17,G,6-1,175,"SEP 15, 1993",32.0,12,Braunschweig,203471,Traded from DET on 07/07/25
13,1610612758,2025,00,Drew Eubanks,Drew,drew-eubanks,19,F-C,6-10,245,"FEB 01, 1997",28.0,7,Oregon State,1629234,Signed on 07/08/25
14,1610612758,2025,00,Devin Carter,Devin,devin-carter,22,G,6-2,195,"MAR 18, 2002",23.0,1,Providence,1642269,#13 Pick in 2024 Draft
15,1610612758,2025,00,Keon Ellis,Keon,keon-ellis,23,G,6-4,175,"JAN 08, 2000",25.0,3,Alabama,1631165,Signed on 07/02/22
16,1610612758,2025,00,Daeqwon Plowden,Daeqwon,daeqwon-plowden,29,G-F,6-6,216,"AUG 29, 1998",27.0,1,Bowling Green,1631342,Signed on 07/30/25
17,1610612758,2025,00,Dexter Dennis,Dexter,dexter-dennis,38,G,6-5,210,"FEB 09, 1999",26.0,1,Texas A&M,1641926,Signed on 09/24/24
18,1610612758,2025,00,Maxime Raynaud,Maxime,maxime-raynaud,42,C,7-1,250,"APR 07, 2003",22.0,R,Stanford,1642875,#42 Pick in 2025 Draft
